,Density,PoreAvgVolume,henry_coeff
15253N2.cif,0.499114,3342.62,2.92513e-06
12001N2.cif,0.848478,1214.44,0.000813763
18040N3.cif,0.821216,2645.59,3.74928e-05
21420N2.cif,0.907024,1451.6,4.71053e-06
21082N2.cif,0.489055,6528.87,2.76652e-05
19390N2.cif,0.702818,1530.6,5.58613e-05
16273N2.cif,0.49464,9112.56,8.05568e-06
21060N2.cif,0.614594,5107.09,7.24476e-05
13122N2.cif,0.402596,5742.39,2.2557e-06
22520N2.cif,0.393334,15723.0,6.1951e-06
20310N2.cif,0.316076,7247.52,5.19796e-06
16140N2.cif,0.533736,7357.99,0.00196285
19363N2.cif,0.406583,8985.34,5.11872e-06
20021N2.cif,0.607219,3187.49,0.000189324
17181N2.cif,0.571852,3512.14,0.0356446
21053N2.cif,0.379951,18744.8,0.000183518
21120N2.cif,0.386535,8893.31,0.00108054
15060N2.cif,0.668249,3561.24,4.71167e-06
21395N2.cif,0.367886,10246.7,0.000243063
08012N2.cif,0.874709,1089.85,9.92367e-06
16251N3.cif,0.294407,17003.6,6.52406e-06
21530N2.cif,0.658919,3529.82,8.6183e-06
16250N3.cif,0.14665,19074.8,6.9049e-06
19366N2.cif,0.363404,9236.85,4.02986e-06
21771N2.cif,0.56277,3312.06,0.00231223
13160N2.cif,0.49874,7873.76,3.09375e-06
21035N2.cif,0.683572,2031.5,4.35326e-06
20260N3.cif,0.9442,2818.19,1.90998e-06
22380N2.cif,0.895472,2254.85,0.000283156
13000N2.cif,1.58059,316.294,7.8963e-07
21314N2.cif,0.370317,7331.67,3.75792e-06
20162N2.cif,0.631381,4720.62,4.23812e-06
21840N2.cif,0.558955,7591.59,1.12048e-05
2245cN2.cif,0.331951,6535.7,5.631e-06
15091N2.cif,0.660057,5112.31,5.70636e-06
21072N2.cif,0.836948,1347.67,3.40388e-05
15251N2.cif,0.42397,4173.27,4.67861e-06
2245jN2.cif,0.581009,2164.73,2.08744e-06
21040N3.cif,1.10037,1397.26,3.4219e-05
14030N2.cif,0.413797,12176.4,4.97693e-06
20362N2.cif,0.78566,985.448,6.76089e-05
15040N2.cif,0.707751,1049.9,3.74189e-06
19122N2.cif,0.642369,2891.23,0.0116637
18143N3.cif,0.109077,35623.2,7.88262e-06
19283N2.cif,0.568196,10659.5,4.41461e-05
16142N2.cif,0.388748,6073.12,4.05999e-06
13071N2.cif,0.605214,3035.7,0.00192717
19464N2.cif,0.554784,3143.82,0.00248303
12024N2.cif,0.463061,6534.15,3.13489e-06
21100N2.cif,0.398476,15850.2,1.54073e-05
20550N2.cif,1.21181,982.308,1.63759e-06
16331N2.cif,0.414676,5649.78,2.70562e-06
2245oN2.cif,0.555215,9879.42,6.68415e-06
15186N2.cif,0.379974,12055.0,5.95296e-06
11031N2.cif,0.299763,20239.4,1.92279e-05
20460N2.cif,1.05326,2602.36,0.000587887
20261N3.cif,0.779671,5187.3,1.6212e-06
14051N3.cif,0.489087,2938.87,0.000111494
21780N2.cif,0.553842,4750.34,8.71039e-06
21220N2.cif,0.495526,7446.37,1.89861e-05
12030N2.cif,0.721957,3038.98,7.58077e-05
20164N2.cif,0.498963,5669.06,7.08638e-05
17050N2.cif,0.494127,5566.39,1.21091e-05
07013N3.cif,0.171077,20611.3,5.74779e-06
16380N2.cif,0.319638,10483.5,2.91252e-06
15170N2.cif,0.813581,2374.51,2.34663e-06
20472N2.cif,0.367176,8895.23,4.98812e-05
21260N2.cif,0.581995,9330.4,8.20139e-06
15252N2.cif,0.457913,3788.34,4.02661e-06
07001N2.cif,1.10023,462.534,8.23509e-06
20153N2.cif,0.656863,4539.9,1.30956e-05
21351N2.cif,0.241938,15650.9,6.10407e-06
15101N2.cif,0.714317,2892.29,1.04934e-05
16070N2.cif,0.617806,3480.28,0.00388563
