,cof,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,Density,PoreAvgVolume,henry_coeff,henry_coeff_198,henry_coeff_298,henry_coeff_77
435,15200N3.cif,15.348469801372,30.747867734206,40.582896160962,43.775979605501,45.516055692589,46.69873246915,0.27824802633272,1.3605851210677,5.8964450100933,10.333381436406,13.701295457927,16.433817755641,0.09916879200773,0.48580776158965,2.2782951072443,4.3387043461607,6.2253089306038,7.886879643157,0.573041,2268.33,,2.81719e-06,9.94935e-07,0.000203788
436,19022N3.cif,10.598178165926,27.725238338155,53.718619235472,64.405465265237,69.766161814079,73.361505600829,0.30967114959622,1.494901325902,6.9257517858477,12.679432271597,17.497652342362,21.642810748039,0.13104281723859,0.65680374909044,3.1181880022796,6.0258420138444,8.7950829529185,11.24737883035,0.367537,11111.8,,3.11284e-06,1.32359e-06,0.000178519
437,12061N2.cif,6.7205179843054,12.907025459187,19.205132759236,21.935063949789,23.481065950634,24.555453084842,0.12544332162138,0.5918699444609,2.6344079100127,4.6859832353661,6.3305723850466,7.7256666028269,0.04686246153126,0.23354809336742,1.0850510785517,2.1114609799269,3.0308388140166,3.8627351454498,0.819318,7628.45,,1.23699e-06,4.70473e-07,0.000115638
438,20116N3.cif,10.84040252591,33.039063946544,85.590450211045,127.15221755608,157.50306185026,181.49574154924,0.67488226730001,3.2848762766175,15.685769376548,30.096682780848,43.594145295629,55.674639743407,0.37276673706048,1.8285994975015,8.6981952501097,17.325687055907,25.502134244111,33.379182251617,0.118021,49366.3,,6.7196e-06,3.68089e-06,0.000149353
439,16130N3.cif,7.8539801674685,27.657632162852,75.651456762216,110.40516421522,134.42186851431,153.38291700572,0.56109796576275,2.7517835949077,13.085398669408,25.259078364133,36.250838290794,46.316687440029,0.3104804688115,1.517827216789,7.284986272239,14.450246600757,21.156360369976,27.771757909902,0.14459,30438.4,,5.64825e-06,3.08e-06,0.000110313
440,15080N2.cif,8.2905023245723,14.815400255423,23.521139518078,27.103539217875,28.865256838386,30.235495045457,0.15753483516986,0.77568242586642,3.2668630140872,5.7386097362065,7.7074712778889,9.3566833854629,0.056734836859082,0.28267989356432,1.3368390744772,2.5457611282849,3.6003722596164,4.5768713013818,0.643085,2944.41,,1.60956e-06,5.74596e-07,0.000326528
441,20211N2.cif,11.524196358737,23.524598989799,37.968078342877,45.854186878589,50.583163310651,53.87425607879,0.249779811474,1.1918600256605,5.4453722864009,9.8794092011493,13.627367945485,16.836024698932,0.10137100949725,0.51078247493175,2.4398057686616,4.7249747945991,6.8237051917431,8.7496744540681,0.412557,3967.59,,2.4839e-06,1.03408e-06,0.000185289
442,20172N2.cif,9.3832909171949,14.497789920512,20.251315316626,22.426033057265,23.615484191273,24.346854724228,0.1506210423723,0.70982297847637,3.0520170826538,5.2715846650977,6.9680158970505,8.3055248218252,0.04775556642197,0.23562143137192,1.0948862152559,2.1057182556035,3.0166894028063,3.8212149953693,0.775313,3472.0,,1.50897e-06,4.75006e-07,0.0011824
443,22222N2.cif,8.4597021024699,21.511097461447,45.957822574273,65.493621152129,81.129499689683,93.781459110697,0.37173103541311,1.7640540573231,8.723404240542,16.473051935673,23.723829382062,29.96125451721,0.1974125975292,0.97982331239129,4.8031605308571,9.4019519047065,13.873947848674,17.950168137415,0.205805,28147.4,,3.74621e-06,1.99345e-06,0.000136089
444,08000N3.cif,19.647028572104,33.820086579326,44.288208060655,47.68950789559,49.56434730228,50.83811522829,0.33916938826446,1.6467796437625,6.8121939644506,11.529299424374,15.012937658611,17.791774116685,0.1100487738096,0.54833200475724,2.516386453331,4.7540021091929,6.7257520515482,8.5331049803164,0.519987,17552.2,,3.45482e-06,1.10952e-06,0.000569738
445,20130N2.cif,6.4589333866016,12.679735977659,22.307530218824,28.515667634605,32.482927538388,35.40013391025,0.15539915060307,0.77255869160988,3.4438481601732,6.3278700727876,8.7900226470593,10.953064581873,0.06874895143188,0.3423847383378,1.6433532427275,3.1491745821206,4.5786563650338,5.9401032063965,0.565603,5894.22,,1.57695e-06,6.93753e-07,0.000141779
