,cof,o2_298K_1bar,o2_298K_5bar,o2_298K_10bar,o2_298K_20bar,o2_298K_30bar,o2_298K_50bar,o2_298K_80bar,o2_298K_100bar,o2_298K_140bar,o2_298K_200bar,Density,PoreAvgVolume,henry_coeff
66,13072N2.cif,0.21735827004905,1.0651680898502,2.0443928820282,3.6726034471542,5.1576711698584,7.5654971318686,10.265237109213,11.709231108479,13.942683538417,16.293545560209,0.598194,3228.84,2.20658e-06
67,22457N2.cif,0.8403699470859,3.5706342134235,6.0872299303989,9.4370910866235,11.563281717463,14.057383000778,16.264923103388,17.229364803955,18.577335646075,19.931287226697,0.626065,7795.85,8.75794e-06
68,18083N2.cif,0.26914220728102,1.2794750819126,2.3765428654586,4.2751690674154,5.8889886166706,8.3490380840274,11.070930286109,12.415591725109,14.56616900186,16.827796859636,0.589894,6926.39,2.71794e-06
69,21421N2.cif,0.33802248938259,1.572468808288,2.999622524941,5.1864413393819,6.8995137726932,9.2794354115438,11.524137958642,12.607607012645,14.056643809042,15.487709725649,0.669549,3759.13,3.46265e-06
70,07000N2.cif,0.28577156111652,1.359746686881,2.5641067066908,4.7185556919684,6.6475353199824,9.9060349662796,13.612774517407,15.67086520129,18.928414866574,22.610174235154,0.458062,5922.33,2.83076e-06
71,16450N2.cif,0.34957921730921,1.6265412560599,3.067089300066,5.5883114846532,7.67918517747,10.912233235627,14.423811869451,16.29489975625,19.204813311019,22.29101858005,0.471821,3966.68,3.51236e-06
72,16332N3.cif,0.36549604484936,1.7930226095719,3.4466981793452,6.7007236511329,9.7537575219819,15.219961855898,22.42532786771,26.633059824111,33.246022495473,40.927483459043,0.284828,11037.7,3.62656e-06
73,21422N2.cif,0.263822416853,1.2064833954833,2.2077663628433,3.8784539290226,5.0838030586445,6.8526320006714,8.425952620798,9.1550352489766,10.230084609948,11.25199557094,0.762469,3004.29,2.72829e-06
74,21013N2.cif,0.26418384793728,1.2898295036986,2.5386005658636,4.7102002127834,6.7213799782848,10.23704519961,14.26387618167,16.54352712758,20.223636536212,24.590429309861,0.396938,7604.08,2.72172e-06
75,14072N2.cif,0.3230153732028,1.5793811074901,2.9184053994955,5.5344751819607,7.7312054636772,11.384487969541,15.491213433811,17.686855307276,20.989952545842,24.61818150693,0.429701,8634.81,3.26408e-06
76,20473N2.cif,0.31343805907869,1.5075589896365,3.0262484394098,5.8383403733474,8.4689143974796,13.304997163265,19.482671390869,23.181371687624,29.767765014705,38.090692942275,0.240713,26320.4,3.22481e-06
77,20191N2.cif,0.28817478760607,1.3673787659729,2.5499991107371,4.967750505564,7.0244858476235,10.526295984137,14.973021400977,17.386056740007,21.431580553006,26.326985177421,0.377262,8247.16,2.81965e-06
78,21353N2.cif,0.46027685592552,2.1960376393654,4.3249955804441,8.1676372230536,11.679382367404,17.380516053509,24.397530398182,28.192260444209,34.718055387568,42.281507811366,0.278472,15181.8,4.63249e-06
